Zaman damgası,Çalıştığınız kurumun niteliği,sektör,Şirket adı vermek isterseniz aşağıya yazınız.,Hangi pozisyonda çalışıyorsunuz?,Maaş durumunuz *bin TL (aralıklar kariyernetten alınmıştır),"İşiniz sizi tatmin ediyor mu, ediyorsa hangi açılardan tatmin ediyor (Evet, hayır veya detay vermek isterseniz ""Diğer""i seçebilirsiniz)",İşinizde ARGE yapıyor musunuz veya iş yerinizde ARGE departmanı var mı?,İşinizde kıdem atlama/ maaş yükseltme ne kadar sürede bir yapılıyor?,"Yaptığınız işin geleceğini ne kadar parlak görüyorsunuz, sizce sektör sizin yaptığınız işten ne kadar daha talep ediyor?",Çalıştığınız şirkette sizin çalıştığınız sürede toplu işten çıkarma yaşandı mı?,Belirtmek istediğiniz ek durumlar var mıdır?,İlk işinizi ne kadar sürede buldunuz?
25.08.2026 13:20:42,Özel,savunma,,Makina Mühendisi,115.7-127.8,Evet,Evet,1 sene,"Çok parlak, giren herkes iş bulur",Hayır,,
25.08.2026 13:22:06,Özel,savunma,Aselsan Alt yüklenici bir firma,Mekanik Tasarım Mühendisi,79 altı,Evet,Evet,3 sene,"Parlak, biraz çabayla herkes iş bulur",Hayır,,
25.08.2026 13:29:00,Özel,savunma,,mekanik tasarım müh,79 altı,Evet,Evet,3 sene,"Kötü, girmesi çok zor bir iş",Hayır,,
25.08.2026 13:35:23,Özel,Otomasyon,,Teknik Satış Mühendisi,79-91.2,Evet,Evet,1 sene,"Orta, biraz zorlanılabilir",Hayır,,
25.08.2026 13:43:53,Özel,Oyun/Mobil App,,Analist,140 üstü,Evet,Hayır,6 ay,"Parlak, biraz çabayla herkes iş bulur",Hayır,,
25.08.2026 14:20:58,Özel,enerji,,Tt,91.3-103.4,Hayır,Hayır,3 sene,"Orta, biraz zorlanılabilir",Hayır,,1 yıl
25.08.2026 14:50:17,kamu iştiraki,savunma,,Analiz,91.3-103.4,Hayır,Evet,3 sene,"Orta, biraz zorlanılabilir",Hayır,,1 yıl
25.08.2026 14:57:35,Özel,Havacılık,Thy,Konfigürasyon mühendisi,115.7-127.8,Evet,Hayır,6 ay,"Parlak, biraz çabayla herkes iş bulur",Hayır,,Staj yaptığım yerden devam ettim
25.08.2026 14:58:35,Özel,savunma,,Mekanik Tasarım Mühendisi,115.7-127.8,Evet,Evet,3 sene,"Parlak, biraz çabayla herkes iş bulur",Hayır,,Staj yaptığım yerden devam ettim
25.08.2026 15:00:02,kamu iştiraki,savunma,Teitech,Performans Mühendisi,91.3-103.4,Evet,Evet,3 sene,"Orta, biraz zorlanılabilir",Hayır,,1 yıl
25.08.2026 15:08:33,Özel,otomotiv,Bayrampaşa Kalıp Sanayi,Mühendis,79 altı,Hayır,Hayır,3 sene,"Çok kötü, yapabilmek için şans ve çalışmadan daha fazlası gerekiyor",Hayır,,Hemen
25.08.2026 16:31:53,kamu iştiraki,savunma,,G,91.3-103.4,Hayır,Hayır,1 sene,"Orta, biraz zorlanılabilir",Hayır,,3 ay
